id,Numéro d'article,Nom du produit,Numéro du lot,Emplacement,Site,Entrepôt,Stock physique,Physique disponible
181,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,15.35,15.35
182,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,2750.0,2750.0
183,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,140.5,140.5
184,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,1575.0,1575.0
185,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,64.95,64.95
186,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,375.0,375.0
187,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,77.42,77.42
188,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,950.0,950.0
189,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,,
190,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,50.0,50.0
191,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,675.0,675.0
192,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,,
193,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,,
194,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,75.0,75.0
195,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,49.242,49.242
196,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,200.0,200.0
197,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,,
198,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,300.0,300.0
199,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,22.93,22.93
200,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,175.0,175.0
201,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,75.0,75.0
202,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,175.0,175.0
203,CPLUB,LUBRIFIANT,,SORTIES-MG,MAKLADA,PROD,,
204,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,500.0,500.0
205,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,425.0,425.0
206,CPLUB,LUBRIFIANT,,99,MAKLADA,CONSP,100.0,100.0
207,CPMGE,MOYEUX PORTE GALETS DE CRENELAGE,,99,MAKLADA,CONSP,24.0,24.0
208,CPMGE,MOYEUX PORTE GALETS DE CRENELAGE,,99,MAKLADA,CONSP,6.0,6.0
209,CPPAA,PAPIER ABRASIF,,99,MAKLADA,FILIERE,,
210,CPPAF,PAPIER FIN,,99,MAKLADA,FILIERE,1.0,1.0
211,CPPDM,PIERE DE MEULE,,99,MAKLADA,CONSP,88.0,88.0
212,CPPDM,PIERE DE MEULE,,99,MAKLADA,CONSP,9.0,9.0
213,FCC-BC,FIL CLAIR CRENELE,OF19-0229,650,MAKLADA,PFCL,1034.0,1034.0
214,FCRA-HC,FIL RESSORT CLAIR,OF22-0200,210,MAKLADA,PFCE,,
215,FCRA-HC,FIL RESSORT CLAIR,OF25-0389,260,MAKLADA,PFCL,,
216,FCRA-HC,FIL RESSORT CLAIR,OF25-0389,260,MAKLADA,PROD,,
217,FCRA-HC,FIL RESSORT CLAIR,OF25-0389,260,MAKLADA,PROD,,
218,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,390.0,390.0
219,FCRA-HC,FIL RESSORT CLAIR,,130,MAKLADA,PFCL,,
220,FCRA-HC,FIL RESSORT CLAIR,,140,MAKLADA,PFCL,,
221,FCRA-HC,FIL RESSORT CLAIR,OF14-0053,140,MAKLADA,PFCL,404.0,404.0
222,FCRA-HC,FIL RESSORT CLAIR,OF15-0185,140,MAKLADA,PFCL,403.0,403.0
223,FCRA-HC,FIL RESSORT CLAIR,OF15-0185,140,MAKLADA,PFCL,403.0,403.0
224,FCRA-HC,FIL RESSORT CLAIR,OF16-0113,140,MAKLADA,PFCL,400.0,400.0
225,FCRA-HC,FIL RESSORT CLAIR,OF16-0113,140,MAKLADA,PFCL,176.0,176.0
226,FCRA-HC,FIL RESSORT CLAIR,OF16-0113,140,MAKLADA,PFCL,401.0,401.0
227,FCRA-HC,FIL RESSORT CLAIR,OF16-0113,140,MAKLADA,PFCL,400.0,400.0
228,FCRA-HC,FIL RESSORT CLAIR,OF16-0113,140,MAKLADA,PFCL,406.0,406.0
229,FCRA-HC,FIL RESSORT CLAIR,OF16-0113,140,MAKLADA,PFCL,457.0,457.0
230,FCRA-HC,FIL RESSORT CLAIR,OF16-0113,140,MAKLADA,PFCL,404.0,404.0
231,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,412.0,
232,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,404.0,
233,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,409.0,
234,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,410.0,
235,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
236,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,409.0,
237,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
238,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,410.0,
239,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,415.0,
240,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
241,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,416.0,
242,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,412.0,
243,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,415.0,
244,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,416.0,
245,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
246,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,416.0,
247,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,417.0,
248,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,417.0,
249,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,417.0,
250,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,417.0,
251,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
252,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,416.0,
253,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
254,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,417.0,
255,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
256,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,,
257,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,418.0,
258,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,399.0,
259,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,439.0,
260,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,415.0,
261,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,422.0,
262,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,416.0,
263,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,419.0,
264,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,421.0,
265,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,421.0,
266,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,420.0,
267,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,420.0,
268,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,419.0,
269,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,420.0,
270,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,424.0,
271,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,417.0,
272,FCRA-HC,FIL RESSORT CLAIR,OF26-0215,130,MAKLADA,PFCL,444.0,
273,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,460.0,460.0
274,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,272.0,272.0
275,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,420.0,420.0
276,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,428.0,428.0
277,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,446.0,446.0
278,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,210.0,210.0
279,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,429.0,429.0
280,FCRA-HC,FIL RESSORT CLAIR,OFMI2013,130,MAKLADA,PFNC,441.0,441.0
281,FCRA-HC,FIL RESSORT CLAIR,,220,MAKLADA,PFCE,,
282,FCRA-HC,FIL RESSORT CLAIR,,180,MAKLADA,PFCL,,
283,FCRA-HC,FIL RESSORT CLAIR,,188,MAKLADA,PFCL,,
284,FCRA-HC,FIL RESSORT CLAIR,,220,MAKLADA,PFCL,,
285,FCRA-HC,FIL RESSORT CLAIR,,240,MAKLADA,PFCL,,
286,FCRA-HC,FIL RESSORT CLAIR,OF17-0466,130,MAKLADA,PFCL,502.0,502.0
287,FCRA-HC,FIL RESSORT CLAIR,OF17-0466,130,MAKLADA,PFCL,500.0,500.0
288,FCRA-HC,FIL RESSORT CLAIR,OF17-0466,130,MAKLADA,PFCL,498.0,498.0
289,FCRA-HC,FIL RESSORT CLAIR,OF19-0118,130,MAKLADA,PFCL,321.0,321.0
